numeric_id,unique_id,original_id,display_name,type,category,disposition,target,authority,note
31,VXL_BLK_Construction_StoneBrick,construction.brick.stone,Stone Brick,block,Construction / Stone,MERGE / SINGLE-DEFINITION,stone-material masonry brick object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 170. Final Block/inventory projections must not create duplicate underlying objects.
32,VXL_BLK_Construction_Cobblestone,construction.cobble.stone,Cobblestone,block,Construction / Stone,MERGE / SINGLE-DEFINITION,stone-material cobble object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 169. Final Block/inventory projections must not create duplicate underlying objects.
33,VXL_BLK_Construction_OakBeam,construction.beam.oak,Oak Beam,block,Construction / Wood,MERGE / SINGLE-DEFINITION,Oak timber beam object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 168. Final Block/inventory projections must not create duplicate underlying objects.
34,VXL_BLK_Construction_OakStair,construction.stair.oak,Oak Stair,block,Construction / Wood Shape,FORM REBIND,Oak timber + standard construction form,LOCKED FCC-12,Standard derived-form candidate; final Oak material binding must respect current timber canon.
35,VXL_BLK_Construction_OakSlab,construction.slab.oak,Oak Slab,block,Construction / Wood Shape,FORM REBIND,Oak timber + standard construction form,LOCKED FCC-12,Standard derived-form candidate; final Oak material binding must respect current timber canon.
36,VXL_BLK_Construction_ThatchRoofBlock,construction.roof.thatch,Thatch Roof Block,block,Construction / Roof,FORM/PRODUCT REBIND,valid fibre/plant provider + authored form/product,LOCKED FCC-12,Underlying fibre/material must remain explicit; do not use generic Plant Fibre as universal identity.
37,VXL_BLK_Construction_OakDoor,construction.door.oak,Oak Door,block,Construction / Door,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
38,VXL_BLK_Construction_OakFence,construction.fence.oak,Oak Fence,block,Construction / Fence,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
39,VXL_BLK_Construction_GlassWindow,construction.window.glass,Glass Window,block,Construction / Window,DEFER / UNCONFIRMED,Glass Window,POC EVIDENCE,No automatic canonical carry-forward. Requires a later FCC-13 source/canon decision.
40,VXL_BLK_Defence_WatchtowerCore,defence.watchtower.core,Watchtower Core,block,Defence / Blueprint Piece,COMPONENT / DEFER EXACT,Watchtower Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
41,VXL_BLK_Defence_WoodenPalisade,defence.palisade.wood,Wooden Palisade,block,Defence / Wall,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
42,VXL_BLK_Defence_WoodenGate,defence.gate.wood,Wooden Gate,block,Defence / Gate,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
43,VXL_BLK_Lighting_Torch,light.torch.basic,Torch,block,Lighting / Safety,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Torch,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
44,VXL_BLK_Defence_BasicSpikeTrap,defence.trap.spike_basic,Basic Spike Trap,block,Defence / Trap,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Basic Spike Trap,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
45,VXL_BLK_Village_GuardPostMarker,village.guard_post.marker,Guard Post Marker,block,Village / Defence,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Guard Post Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
46,VXL_BLK_Magic_WardLantern,magic.ward_lantern.basic,Ward Lantern,block,Magic / Defence,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Ward Lantern,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
47,VXL_BLK_Magic_BasicManaConduit,magic.conduit.mana_basic,Basic Mana Conduit,block,Magic / Network,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Basic Mana Conduit,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
48,VXL_BLK_Terrain_Deepstone,terrain.deepstone.basic,Deepstone,block,Terrain / Deep Stone,RETIRE / ALIAS,legacy geological/category term only,LOCKED FCC-12,Must not survive as an active exact material.
49,VXL_BLK_Terrain_Limestone,terrain.limestone.basic,Limestone,block,Terrain / Stone Variant,REBIND CANONICAL,Limestone,LOCKED FCC-12,Canonical Overworld stone.
50,VXL_BLK_Terrain_Basalt,terrain.basalt.basic,Basalt,block,Terrain / Volcanic Stone,REBIND CANONICAL,Basalt,LOCKED FCC-12,Shared universal Basalt identity.
51,VXL_BLK_Terrain_Granite,terrain.granite.basic,Granite,block,Terrain / Stone Variant,REBIND CANONICAL,Granite,LOCKED FCC-12,Canonical Overworld stone.
52,VXL_BLK_Terrain_MossyCaveStone,terrain.mossy_stone.cave,Mossy Cave Stone,block,Terrain / Cave Variant,STATE/OVERLAY CONTEXTUAL,actual cave stone + moss/biological surface state,FCC-12,Do not create a generic independent Mossy Cave Stone material.
53,VXL_BLK_Terrain_CrystalStone,terrain.crystal_stone.basic,Crystal Stone,block,Terrain / Magical Stone,MIGRATE CONTEXTUALLY / RETIRE,actual canonical material if source evidence identifies one,LOCKED FCC-12,Generic POC magical-stone placeholder.
54,VXL_BLK_Terrain_SnowBlock,terrain.snow.basic,Snow Block,block,Terrain / Cold,PHASE/FORM REVIEW,Water-derived frozen/snow world representation,FCC-12 PRINCIPLE + POC,"Phase/form semantics are expected, but exact world-object binding remains FCC-13B."
55,VXL_BLK_Terrain_IceBlock,terrain.ice.basic,Ice Block,block,Terrain / Hazard,PHASE/FORM REVIEW,Water-derived frozen/snow world representation,FCC-12 PRINCIPLE + POC,"Phase/form semantics are expected, but exact world-object binding remains FCC-13B."
56,VXL_BLK_Terrain_FertileSoil,terrain.soil.fertile,Fertile Soil,block,Terrain / Farming,STATE / QUALITY,actual soil + fertility state/profile,LOCKED FCC-12,Fertility does not create a new universal soil material.
57,VXL_BLK_Farming_TilledFarmland,farm.farmland.tilled,Tilled Farmland,block,Farming,STATE / WORLD PROJECTION,actual soil + tilled/cultivated state,LOCKED FCC-12,"Cultivation is state/land use, not new material identity."
58,VXL_BLK_Natural_ReedBlock,natural.reed.basic,Reed Block,block,Natural / Plant,RELATIONSHIP CLUSTER / REBIND,living/world reed object,FCC-12 + POC EVIDENCE,Related to Item 219; exact botanical identity is not established by POC alone.
59,VXL_BLK_Natural_CaveMushroom,natural.mushroom.cave,Cave Mushroom,block,Natural / Fungi,RELATIONSHIP CLUSTER / REBIND,living Cave Mushroom world object,FCC-12 + POC EVIDENCE,Related to Item 218; living growth vs harvested food may legitimately use distinct content identities.
60,VXL_BLK_Construction_ClayBrickBlock,construction.brick.clay,Clay Brick Block,block,Construction / Brick,RELATIONSHIP CLUSTER / REBIND,fired ceramic/clay + brick form,FCC-12 + POC EVIDENCE,Related to Item 223; likely world/inventory projections of the same physical brick construction form.
61,VXL_BLK_Construction_ClayRoofTile,construction.roof.tile_clay,Clay Roof Tile,block,Construction / Roof,MERGE / SINGLE-DEFINITION,ceramic/clay roof-tile object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 224. Final Block/inventory projections must not create duplicate underlying objects.
62,VXL_BLK_Construction_StonePillar,construction.pillar.stone,Stone Pillar,block,Construction / Stone Shape,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.
63,VXL_BLK_Construction_StoneWall,construction.wall.stone,Stone Wall,block,Construction / Wall,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.
64,VXL_BLK_Construction_StoneArch,construction.arch.stone,Stone Arch,block,Construction / Modular,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.
65,VXL_BLK_Construction_WoodenShutter,construction.shutter.wood,Wooden Shutter,block,Construction / Window Detail,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
66,VXL_BLK_Utility_WoodenLadder,utility.ladder.wood,Wooden Ladder,block,Utility / Climbable,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
67,VXL_BLK_Construction_WoodenTrapdoor,construction.trapdoor.wood,Wooden Trapdoor,block,Construction / Door,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
68,VXL_BLK_Furniture_SimpleBed,furniture.bed.simple,Simple Bed,block,Furniture / Functional,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Simple Bed,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
69,VXL_BLK_Furniture_WoodenTable,furniture.table.wood,Wooden Table,block,Furniture / Decorative,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Table,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
70,VXL_BLK_Furniture_WoodenChair,furniture.chair.wood,Wooden Chair,block,Furniture / Decorative,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Chair,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
71,VXL_BLK_Furniture_Bookshelf,furniture.bookshelf.basic,Bookshelf,block,Furniture / Functional,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Bookshelf,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
72,VXL_BLK_Road_DirtPath,road.path.dirt,Dirt Path,block,Road / Movement,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Dirt Path,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
73,VXL_MCH_Functional_Sawmill,functional.sawmill.basic,Sawmill,block,Functional / Processing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Sawmill,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
74,VXL_MCH_Functional_ForgeAndAnvil,functional.forge.anvil,Forge and Anvil,block,Functional / Smithing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Forge and Anvil,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
75,VXL_MCH_Functional_Loom,functional.loom.basic,Loom,block,Functional / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Loom,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
76,VXL_MCH_Functional_AlchemyTable,functional.alchemy_table.basic,Alchemy Table,block,Functional / Magic Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Alchemy Table,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
77,VXL_BLK_Magic_EnchantingStation,magic.enchanting_station.basic,Enchanting Station,block,Magic / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Enchanting Station,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
78,VXL_MCH_Automation_MachineAssembler,automation.assembler.basic,Machine Assembler,block,Automation / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Machine Assembler,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
79,VXL_MCH_Functional_ResearchDesk,functional.research_desk.basic,Research Desk,block,Functional / Research,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Research Desk,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
80,VXL_BLK_Storage_WoodenCrate,storage.crate.wood,Wooden Crate,block,Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Crate,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
81,VXL_BLK_Storage_WoodenBarrel,storage.barrel.wood,Wooden Barrel,block,Storage / Fluid or Food,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Barrel,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
82,VXL_BLK_Storage_GrainSilo,storage.silo.basic,Grain Silo,block,Storage / Village Food,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Grain Silo,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
83,VXL_BLK_Storage_LinkedWarehouse,storage.warehouse.linked,Linked Warehouse,block,Storage / Magic Logistics,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Linked Warehouse,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
84,VXL_MCH_Automation_CartDepot,automation.cart_depot.basic,Cart Depot,block,Automation / Logistics,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Cart Depot,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
85,VXL_MCH_Automation_ConveyorBelt,automation.conveyor.basic,Conveyor Belt,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Conveyor Belt,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
86,VXL_MCH_Automation_ItemPipe,automation.pipe.item_basic,Item Pipe,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Item Pipe,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
87,VXL_MCH_Automation_Splitter,automation.splitter.basic,Splitter,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Splitter,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
88,VXL_MCH_Automation_SorterFilter,automation.sorter.basic,Sorter / Filter,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Sorter / Filter,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
89,VXL_MCH_Automation_Merger,automation.merger.basic,Merger,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Merger,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
90,VXL_MCH_Automation_Crusher,automation.crusher.basic,Crusher,block,Automation / Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Crusher,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
91,VXL_MCH_Automation_Grinder,automation.grinder.basic,Grinder,block,Automation / Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Grinder,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
92,VXL_MCH_Automation_Pump,automation.pump.basic,Pump,block,Automation / Fluid,SYSTEM CANDIDATE / REBIND,Pump,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
93,VXL_MCH_Automation_FluidPipe,automation.pipe.fluid_basic,Fluid Pipe,block,Automation / Fluid,SYSTEM CANDIDATE / REBIND,Fluid Pipe,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
94,VXL_BLK_Automation_WaterWheel,power.water_wheel.basic,Water Wheel,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Water Wheel,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
95,VXL_BLK_Automation_Windmill,power.windmill.basic,Windmill,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Windmill,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
96,VXL_BLK_Automation_ManualCrank,power.crank.basic,Manual Crank,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Manual Crank,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
97,VXL_BLK_Automation_FuelEngine,power.engine.fuel,Fuel Engine,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Fuel Engine,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
98,VXL_BLK_Magic_ManaBattery,magic.battery.mana,Mana Battery,block,Magic / Power Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Mana Battery,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
99,VXL_BLK_Magic_RuneEngine,magic.engine.rune,Rune Engine,block,Magic / Power,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Engine,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
100,VXL_MCH_Automation_ArcaneFurnace,automation.arcane_furnace.advanced,Arcane Furnace,block,Automation / Magic Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Arcane Furnace,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
101,VXL_MCH_Automation_RuneMiner,automation.rune_miner.basic,Rune Miner,block,Automation / Magic Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Miner,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
102,VXL_MCH_Automation_GolemWorkstation,automation.golem_workstation.basic,Golem Workstation,block,Automation / Labour,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Golem Workstation,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
103,VXL_MCH_Automation_FarmProcessor,automation.processor.farm,Farm Processor,block,Automation / Agriculture,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Farm Processor,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
104,VXL_MCH_Automation_PlankMaker,automation.plank_maker.basic,Plank Maker,block,Automation / Wood Processing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Plank Maker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
105,VXL_MCH_Automation_ArcaneAssembler,automation.assembler.arcane,Arcane Assembler,block,Automation / Magic Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Arcane Assembler,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
106,VXL_BLK_Magic_ManaCrystalBlock,magic.crystal_block.mana,Mana Crystal Block,block,Magic / Resource Block,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Mana Crystal Block,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
