numeric_id,unique_id,original_id,display_name,type,category,disposition,target,authority,note,final_fcc13e_status,final_action
11,VXL_BLK_Construction_OakPlanks,construction.planks.oak,Oak Planks,block,Construction / Wood,RELATIONSHIP CLUSTER / REBIND,Oak timber + plank form,FCC-12 + POC EVIDENCE,"Related to Item 167; likely one physical plank object with world/inventory projections, final binding in FCC-13B.",CANONICAL REBIND / GENERATED FORM / STATE,Oak timber + plank form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
12,VXL_BLK_Natural_BranchStickBlock,natural.branch.stick,Branch / Stick Block,block,Natural / Harvestable,NATURAL OBJECT / FORM,wood/plant source + branch/stick form,FCC-12 PRINCIPLE + POC,Underlying botanical material should remain known.,CANONICAL REBIND / GENERATED FORM / STATE,wood/plant source + branch/stick form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
13,VXL_BLK_Natural_TallGrass,natural.grass.tall,Tall Grass,block,Natural / Plant,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.,POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
14,VXL_BLK_Natural_BushBlock,natural.bush.basic,Bush Block,block,Natural / Plant,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.,POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
15,VXL_BLK_Natural_BasicCropBlock,farm.crop.basic,Basic Crop Block,block,Natural / Crop,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.,POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
16,VXL_BLK_Natural_WildflowerBlock,natural.flower.basic,Wildflower Block,block,Natural / Plant,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.,POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
17,VXL_BLK_Resource_CoalOre,ore.coal.basic,Coal Ore,block,Resource / Ore,SOURCE / WORLD DEPOSIT,Coal-bearing source/deposit,CURRENT CANON + FCC-12,World source representation of canonical Coal.,CANONICAL REBIND / GENERATED FORM / STATE,Coal-bearing source/deposit. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
18,VXL_BLK_Resource_CopperOre,ore.copper.basic,Copper Ore,block,Resource / Ore,SOURCE / WORLD DEPOSIT,Copper-bearing ore/deposit,LOCKED FCC-12,Source/deposit relation rather than duplicate Copper material.,CANONICAL REBIND / GENERATED FORM / STATE,Copper-bearing ore/deposit. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
19,VXL_BLK_Resource_IronOre,ore.iron.basic,Iron Ore,block,Resource / Ore,SOURCE / WORLD DEPOSIT,Iron-bearing ore/deposit,LOCKED FCC-12,Source/deposit relation rather than duplicate Iron material.,CANONICAL REBIND / GENERATED FORM / STATE,Iron-bearing ore/deposit. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
20,VXL_BLK_Resource_ManaCrystalOre,ore.mana_crystal.basic,Mana Crystal Ore,block,Resource / Magical Ore,SOURCE RELATIONSHIP,Raw Mana Crystal source/deposit/block relationship,LOCKED FCC-12,Ore/source representation must not create a duplicate Mana Crystal material.,CANONICAL REBIND / GENERATED FORM / STATE,Raw Mana Crystal source/deposit/block relationship. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
21,VXL_BLK_Resource_ClayDeposit,deposit.clay.pit,Clay Deposit,block,Resource / Deposit,SOURCE / WORLD DEPOSIT,specific clay deposit/feedstock,LOCKED FCC-12,Clay composition/profile must be preserved.,CANONICAL REBIND / GENERATED FORM / STATE,specific clay deposit/feedstock. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
22,VXL_BLK_Resource_SurfaceStoneBoulder,resource.boulder.stone,Surface Stone Boulder,block,Resource / Surface Node,SOURCE / FORM,actual stone material + boulder form,LOCKED FCC-12,Generic 'stone' must resolve to real source stone.,CANONICAL REBIND / GENERATED FORM / STATE,actual stone material + boulder form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
23,VXL_MCH_Functional_Workbench,functional.workbench.basic,Workbench,block,Functional / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Workbench,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
24,VXL_MCH_Functional_StoneFurnace,functional.furnace.stone,Stone Furnace,block,Functional / Smelting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Stone Furnace,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
25,VXL_BLK_Magic_ManaFurnace,magic.furnace.mana,Mana Furnace,block,Magic / Processing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Mana Furnace,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
26,VXL_BLK_Storage_WoodenChest,storage.chest.wood,Wooden Chest,block,Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Chest,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
27,VXL_BLK_Village_VillageWarehouse,village.warehouse.basic,Village Warehouse,block,Village / Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Village Warehouse,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
28,VXL_MCH_Automation_BasicManaMiner,automation.miner.basic_mana,Basic Mana Miner,block,Automation / Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Basic Mana Miner,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
29,VXL_MCH_Automation_BasicItemChute,automation.transport.chute,Basic Item Chute,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Basic Item Chute,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Item Chute archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
30,VXL_BLK_Magic_RuneTable,magic.rune_table.basic,Rune Table,block,Magic / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Table,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
31,VXL_BLK_Construction_StoneBrick,construction.brick.stone,Stone Brick,block,Construction / Stone,MERGE / SINGLE-DEFINITION,stone-material masonry brick object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 170. Final Block/inventory projections must not create duplicate underlying objects.,CANONICAL REBIND / GENERATED FORM / STATE,stone-material masonry brick object. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
32,VXL_BLK_Construction_Cobblestone,construction.cobble.stone,Cobblestone,block,Construction / Stone,MERGE / SINGLE-DEFINITION,stone-material cobble object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 169. Final Block/inventory projections must not create duplicate underlying objects.,CANONICAL REBIND / GENERATED FORM / STATE,stone-material cobble object. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
33,VXL_BLK_Construction_OakBeam,construction.beam.oak,Oak Beam,block,Construction / Wood,MERGE / SINGLE-DEFINITION,Oak timber beam object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 168. Final Block/inventory projections must not create duplicate underlying objects.,CANONICAL REBIND / GENERATED FORM / STATE,Oak timber beam object. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
34,VXL_BLK_Construction_OakStair,construction.stair.oak,Oak Stair,block,Construction / Wood Shape,FORM REBIND,Oak timber + standard construction form,LOCKED FCC-12,Standard derived-form candidate; final Oak material binding must respect current timber canon.,CANONICAL REBIND / GENERATED FORM / STATE,Oak timber + standard construction form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
35,VXL_BLK_Construction_OakSlab,construction.slab.oak,Oak Slab,block,Construction / Wood Shape,FORM REBIND,Oak timber + standard construction form,LOCKED FCC-12,Standard derived-form candidate; final Oak material binding must respect current timber canon.,CANONICAL REBIND / GENERATED FORM / STATE,Oak timber + standard construction form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
36,VXL_BLK_Construction_ThatchRoofBlock,construction.roof.thatch,Thatch Roof Block,block,Construction / Roof,FORM/PRODUCT REBIND,valid fibre/plant provider + authored form/product,LOCKED FCC-12,Underlying fibre/material must remain explicit; do not use generic Plant Fibre as universal identity.,CANONICAL REBIND / GENERATED FORM / STATE,valid fibre/plant provider + authored form/product. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
37,VXL_BLK_Construction_OakDoor,construction.door.oak,Oak Door,block,Construction / Door,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.,CANONICAL REBIND / GENERATED FORM / STATE,timber material/provider + construction archetype. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
38,VXL_BLK_Construction_OakFence,construction.fence.oak,Oak Fence,block,Construction / Fence,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.,CANONICAL REBIND / GENERATED FORM / STATE,timber material/provider + construction archetype. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
39,VXL_BLK_Construction_GlassWindow,construction.window.glass,Glass Window,block,Construction / Window,DEFER / UNCONFIRMED,Glass Window,POC EVIDENCE,No automatic canonical carry-forward. Requires a later FCC-13 source/canon decision.,POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
40,VXL_BLK_Defence_WatchtowerCore,defence.watchtower.core,Watchtower Core,block,Defence / Blueprint Piece,COMPONENT / DEFER EXACT,Watchtower Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
41,VXL_BLK_Defence_WoodenPalisade,defence.palisade.wood,Wooden Palisade,block,Defence / Wall,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.,CANONICAL REBIND / GENERATED FORM / STATE,timber material/provider + construction archetype. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
42,VXL_BLK_Defence_WoodenGate,defence.gate.wood,Wooden Gate,block,Defence / Gate,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.,CANONICAL REBIND / GENERATED FORM / STATE,timber material/provider + construction archetype. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
43,VXL_BLK_Lighting_Torch,light.torch.basic,Torch,block,Lighting / Safety,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Torch,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
44,VXL_BLK_Defence_BasicSpikeTrap,defence.trap.spike_basic,Basic Spike Trap,block,Defence / Trap,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Basic Spike Trap,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
45,VXL_BLK_Village_GuardPostMarker,village.guard_post.marker,Guard Post Marker,block,Village / Defence,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Guard Post Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
46,VXL_BLK_Magic_WardLantern,magic.ward_lantern.basic,Ward Lantern,block,Magic / Defence,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Ward Lantern,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
47,VXL_BLK_Magic_BasicManaConduit,magic.conduit.mana_basic,Basic Mana Conduit,block,Magic / Network,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Basic Mana Conduit,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
48,VXL_BLK_Terrain_Deepstone,terrain.deepstone.basic,Deepstone,block,Terrain / Deep Stone,RETIRE / ALIAS,legacy geological/category term only,LOCKED FCC-12,Must not survive as an active exact material.,RETIRED / ALIAS OR CONTEXTUAL MIGRATION,legacy geological/category term only. No active independent identity survives.
49,VXL_BLK_Terrain_Limestone,terrain.limestone.basic,Limestone,block,Terrain / Stone Variant,REBIND CANONICAL,Limestone,LOCKED FCC-12,Canonical Overworld stone.,CANONICAL REBIND / GENERATED FORM / STATE,Limestone. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
50,VXL_BLK_Terrain_Basalt,terrain.basalt.basic,Basalt,block,Terrain / Volcanic Stone,REBIND CANONICAL,Basalt,LOCKED FCC-12,Shared universal Basalt identity.,CANONICAL REBIND / GENERATED FORM / STATE,Basalt. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
51,VXL_BLK_Terrain_Granite,terrain.granite.basic,Granite,block,Terrain / Stone Variant,REBIND CANONICAL,Granite,LOCKED FCC-12,Canonical Overworld stone.,CANONICAL REBIND / GENERATED FORM / STATE,Granite. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
52,VXL_BLK_Terrain_MossyCaveStone,terrain.mossy_stone.cave,Mossy Cave Stone,block,Terrain / Cave Variant,STATE/OVERLAY CONTEXTUAL,actual cave stone + moss/biological surface state,FCC-12,Do not create a generic independent Mossy Cave Stone material.,CANONICAL REBIND / GENERATED FORM / STATE,actual cave stone + moss/biological surface state. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
53,VXL_BLK_Terrain_CrystalStone,terrain.crystal_stone.basic,Crystal Stone,block,Terrain / Magical Stone,MIGRATE CONTEXTUALLY / RETIRE,actual canonical material if source evidence identifies one,LOCKED FCC-12,Generic POC magical-stone placeholder.,CANONICAL CONTEXTUAL MIGRATION,actual canonical material if source evidence identifies one. Resolve by locked context; do not preserve the obsolete identity as active canon.
54,VXL_BLK_Terrain_SnowBlock,terrain.snow.basic,Snow Block,block,Terrain / Cold,PHASE/FORM REVIEW,Water-derived frozen/snow world representation,FCC-12 PRINCIPLE + POC,"Phase/form semantics are expected, but exact world-object binding remains FCC-13B.",CANONICAL REBIND / GENERATED FORM / STATE,Water-derived frozen/snow world representation. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
55,VXL_BLK_Terrain_IceBlock,terrain.ice.basic,Ice Block,block,Terrain / Hazard,PHASE/FORM REVIEW,Water-derived frozen/snow world representation,FCC-12 PRINCIPLE + POC,"Phase/form semantics are expected, but exact world-object binding remains FCC-13B.",CANONICAL REBIND / GENERATED FORM / STATE,Water-derived frozen/snow world representation. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
56,VXL_BLK_Terrain_FertileSoil,terrain.soil.fertile,Fertile Soil,block,Terrain / Farming,STATE / QUALITY,actual soil + fertility state/profile,LOCKED FCC-12,Fertility does not create a new universal soil material.,CANONICAL REBIND / GENERATED FORM / STATE,actual soil + fertility state/profile. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
57,VXL_BLK_Farming_TilledFarmland,farm.farmland.tilled,Tilled Farmland,block,Farming,STATE / WORLD PROJECTION,actual soil + tilled/cultivated state,LOCKED FCC-12,"Cultivation is state/land use, not new material identity.",CANONICAL REBIND / GENERATED FORM / STATE,actual soil + tilled/cultivated state. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
58,VXL_BLK_Natural_ReedBlock,natural.reed.basic,Reed Block,block,Natural / Plant,RELATIONSHIP CLUSTER / REBIND,living/world reed object,FCC-12 + POC EVIDENCE,Related to Item 219; exact botanical identity is not established by POC alone.,CANONICAL REBIND / GENERATED FORM / STATE,living/world reed object. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
59,VXL_BLK_Natural_CaveMushroom,natural.mushroom.cave,Cave Mushroom,block,Natural / Fungi,RELATIONSHIP CLUSTER / REBIND,living Cave Mushroom world object,FCC-12 + POC EVIDENCE,Related to Item 218; living growth vs harvested food may legitimately use distinct content identities.,CANONICAL REBIND / GENERATED FORM / STATE,living Cave Mushroom world object. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
60,VXL_BLK_Construction_ClayBrickBlock,construction.brick.clay,Clay Brick Block,block,Construction / Brick,RELATIONSHIP CLUSTER / REBIND,fired ceramic/clay + brick form,FCC-12 + POC EVIDENCE,Related to Item 223; likely world/inventory projections of the same physical brick construction form.,CANONICAL REBIND / GENERATED FORM / STATE,fired ceramic/clay + brick form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
61,VXL_BLK_Construction_ClayRoofTile,construction.roof.tile_clay,Clay Roof Tile,block,Construction / Roof,MERGE / SINGLE-DEFINITION,ceramic/clay roof-tile object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 224. Final Block/inventory projections must not create duplicate underlying objects.,CANONICAL REBIND / GENERATED FORM / STATE,ceramic/clay roof-tile object. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
62,VXL_BLK_Construction_StonePillar,construction.pillar.stone,Stone Pillar,block,Construction / Stone Shape,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.,CANONICAL REBIND / GENERATED FORM / STATE,actual stone/provider + authored construction form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
63,VXL_BLK_Construction_StoneWall,construction.wall.stone,Stone Wall,block,Construction / Wall,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.,CANONICAL REBIND / GENERATED FORM / STATE,actual stone/provider + authored construction form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
64,VXL_BLK_Construction_StoneArch,construction.arch.stone,Stone Arch,block,Construction / Modular,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.,CANONICAL REBIND / GENERATED FORM / STATE,actual stone/provider + authored construction form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
65,VXL_BLK_Construction_WoodenShutter,construction.shutter.wood,Wooden Shutter,block,Construction / Window Detail,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.,CANONICAL REBIND / GENERATED FORM / STATE,timber material/provider + construction archetype. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
66,VXL_BLK_Utility_WoodenLadder,utility.ladder.wood,Wooden Ladder,block,Utility / Climbable,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.,CANONICAL REBIND / GENERATED FORM / STATE,timber material/provider + construction archetype. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
67,VXL_BLK_Construction_WoodenTrapdoor,construction.trapdoor.wood,Wooden Trapdoor,block,Construction / Door,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.,CANONICAL REBIND / GENERATED FORM / STATE,timber material/provider + construction archetype. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
